,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Denmark,Denmark,GPE,0.80000000,1.00000000,en,1.00000000,4010877-6,2623032,A,56.00000000,10.00000000,EUROPE,Denmark,NEU
Sápmi,Sápmi,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Mozambique,Mozambique,GPE,0.25000000,0.56250000,en,1.00000000,4039786-5,1036973,A,-18.25000000,35.00000000,AFRICA,Mozambique,ESAF
Skjåk,Skjåk,GPE,0.00000000,0.00000000,en,1.00000000,,3138965,A,61.88349000,8.26490000,EUROPE,Norway,NEU
earth,earth,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Nordkapp municipality,Nordkapp municipality,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
East Coast,East Coast,LOC,0.13636364,0.45454545,en,1.00000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
New York City,New York City,GPE,0.04545455,0.15151515,en,1.00000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Alpine,Alpine,LOC,-0.20000000,0.50000000,en,1.00000000,,5770732,P,40.45328000,-111.77799000,NORTH-AMERICA,United States,WNA
New York's,New York's,GPE,-0.00639731,0.45614478,en,1.00000000,,5107464,P,40.77205000,-73.93014000,NORTH-AMERICA,United States,ENA
Ygnisdalen,Ygnisdalen,GPE,-0.11250000,0.23750000,en,1.00000000,,3131286,S,60.97537000,6.49015000,EUROPE,Norway,NEU
Vik,Vik,LOC,-0.11250000,0.23750000,en,1.00000000,,2625252,P,63.41944000,-19.00972000,POLAR,Iceland,GIC
Suldal,Suldal,GPE,-0.10000000,0.10000000,en,1.00000000,4449333-2,3135520,S,59.48953000,6.49290000,EUROPE,Norway,NEU
Voss,Voss,GPE,0.16000000,0.54000000,en,1.00000000,1083177-0,3131329,P,60.62869000,6.41474000,EUROPE,Norway,NEU
Nordlands,Nordlands,GPE,0.11666667,0.61666667,en,1.00000000,,0,,,,,,
Guatemala,Guatemala,GPE,0.00000000,0.00000000,en,1.00000000,4022428-4,3595528,A,15.50000000,-90.25000000,CENTRAL-AMERICA,Guatemala,SCA
Indre Fjordane,Indre Fjordane,GPE,0.08000000,0.27000000,en,1.00000000,,0,,,,,,
Jagland,Jagland,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
the Volcanic Islands,the Volcanic Islands,LOC,0.26666667,0.56666667,en,1.00000000,,7778832,T,18.14614000,145.77175000,PACIFIC,Northern Mariana Islands,NPO
the Volcano Islands,the Volcano Islands,LOC,0.05000000,0.20000000,en,1.00000000,,7778751,T,18.76760000,145.67330000,PACIFIC,Northern Mariana Islands,NPO
Hadsel,Hadsel,GPE,-0.16666667,0.16666667,en,1.00000000,,3154394,A,68.56328000,14.90835000,EUROPE,Norway,NEU
Vesterålen,Vesterålen,GPE,-0.16666667,0.16666667,en,1.00000000,4262006-5,3154847,P,68.66667000,14.95000000,EUROPE,Norway,NEU
West Java,West Java,GPE,0.00000000,0.00000000,en,1.00000000,5060395-4,1649378,P,-6.23490000,106.98960000,ASIA,Indonesia,SEA
West Bandung,West Bandung,GPE,0.00000000,0.00000000,en,1.00000000,4080255-3,1650357,P,-6.92222000,107.60694000,ASIA,Indonesia,SEA
Linz,Linz,GPE,0.00000000,0.00000000,en,1.00000000,4074255-6,2772400,P,48.30639000,14.28611000,EUROPE,Austria,WCE
biathlon,biathlon,GPE,0.00000000,0.03333333,en,1.00000000,,6014337,H,47.19812000,-78.70786000,NORTH-AMERICA,Canada,ENA
Byrkjedal,Byrkjedal,GPE,0.00000000,0.00000000,en,1.00000000,,3159562,P,58.77931000,6.31770000,EUROPE,Norway,NEU
Ingrid,Ingrid,GPE,0.00000000,0.00000000,en,1.00000000,,6635439,T,-69.50000000,77.00000000,POLAR,Antarctica,EAN
Høle,Høle,LOC,0.21428571,0.42857143,en,1.00000000,,3602736,P,16.31553000,-86.53966000,CENTRAL-AMERICA,Honduras,SCA
Val di Fiemme,Val di Fiemme,GPE,-0.43181818,0.72727273,en,1.00000000,4250889-7,3177027,T,46.28333000,11.58333000,EUROPE,Italy,WCE
Mallorca,Mallorca,GPE,0.25000000,0.33333333,en,1.00000000,4115833-7,2512989,P,39.56939000,2.65024000,EUROPE-AFRICA,Spain,MED
La Liga,La Liga,GPE,0.25000000,0.33333333,en,1.00000000,,11200512,T,-28.58575000,-70.83840000,SOUTH-AMERICA,Chile,SWS
Berlevåg,Berlevåg,GPE,-0.11250000,0.23750000,en,1.00000000,,6296729,S,70.87100000,29.02944000,EUROPE,Norway,NEU
Portugal,Portugal,GPE,-0.20000000,0.40000000,en,1.00000000,4046843-4,2264397,A,39.69450000,-8.13057000,EUROPE-AFRICA,Portugal,MED
South-Eastern,South-Eastern,LOC,0.25000000,0.33333333,en,1.00000000,,0,,,,,,
Florida,Florida,GPE,0.00000000,0.00000000,en,1.00000000,4017585-6,12217087,L,26.50000000,-81.00000000,NORTH-AMERICA,United States,ENA
Toamasina,Toamasina,GPE,0.00208333,0.36041667,en,1.00000000,4704687-9,1053384,P,-18.14920000,49.40234000,AFRICA,Madagascar,MDG
Caribbean,Caribbean,LOC,0.00000000,0.37500000,en,1.00000000,,0,,,,,,
Glimt,Glimt,GPE,0.00000000,0.06250000,en,1.00000000,,0,,,,,,
Flakstad,Flakstad,GPE,-0.10000000,0.10000000,en,1.00000000,4616305-0,3157197,A,68.09292000,13.23310000,EUROPE,Norway,NEU
Minnesota,Minnesota,GPE,0.00000000,0.00000000,en,1.00000000,4101012-7,5037779,A,46.25024000,-94.25055000,NORTH-AMERICA,United States,CNA
Antalya,Antalya,GPE,0.00000000,0.00000000,en,1.00000000,4079795-8,323777,P,36.90812000,30.69556000,EUROPE-AFRICA,Turkey,MED
Arctic University,Arctic University,GPE,0.13636364,0.45454545,en,1.00000000,,0,,,,,,
East London,East London,GPE,0.50000000,0.90000000,en,1.00000000,4433162-9,4839416,P,41.35565000,-72.09952000,NORTH-AMERICA,United States,ENA
Castle Peak,Castle Peak,LOC,-0.10000000,0.02500000,en,1.00000000,,6630899,T,-66.99150000,-65.88439000,POLAR,Antarctica,WAN
Sokndal,Sokndal,GPE,0.03125000,0.37500000,en,1.00000000,4215267-7,3137953,A,58.34256000,6.29425000,EUROPE,Norway,NEU
West Ham,West Ham,LOC,0.00000000,0.00000000,en,1.00000000,4723170-1,5029181,P,45.25024000,-93.24995000,NORTH-AMERICA,United States,CNA
West Ham United,West Ham United,GPE,0.00000000,0.00000000,en,1.00000000,,10239138,S,51.53181000,0.03861000,EUROPE,United Kingdom,NEU
Gilja,Gilja,GPE,0.00000000,0.00000000,en,1.00000000,,3155846,P,58.80704000,6.25895000,EUROPE,Norway,NEU
Iran,Iran,GPE,-0.40000000,0.60000000,en,1.00000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
Zimbabwe,Zimbabwe,GPE,0.25000000,0.56250000,en,1.00000000,4049850-5,878675,A,-19.00000000,29.75000000,AFRICA,Zimbabwe,ESAF
Kyiv,Kyiv,GPE,0.00000000,0.00000000,en,1.00000000,4030522-3,703448,P,50.45466000,30.52380000,EUROPE,Ukraine,WCE
the North Maluka Sea,the North Maluka Sea,LOC,0.10000000,0.40000000,en,1.00000000,,0,,,,,,
the east coast,the east coast,LOC,-0.10000000,0.25000000,en,1.00000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
North Island,North Island,LOC,0.10909091,0.45113636,en,1.00000000,,3575292,P,17.32590000,-62.81055000,CENTRAL-AMERICA,St Kitts and Nevis,CAR
Grøtfjord,Grøtfjord,GPE,0.00000000,0.60000000,en,1.00000000,,3154764,P,69.77727000,18.53979000,EUROPE,Norway,NEU
New Zealand's,New Zealand's,GPE,0.10909091,0.45113636,en,1.00000000,,2161314,P,-29.05459000,167.96628000,PACIFIC,Norfolk Island,SPO
UKRAINE,UKRAINE,GPE,-0.30000000,0.40000000,en,1.00000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
West Telemark,West Telemark,GPE,0.10000000,0.45000000,en,1.00000000,,6526310,S,39.18720000,-106.82170000,NORTH-AMERICA,United States,WNA
Heiane,Heiane,GPE,0.00000000,0.00000000,en,1.00000000,,9209347,T,61.98676000,6.32959000,EUROPE,Norway,NEU
Hollywood,Hollywood,GPE,0.16666667,0.16666667,en,1.00000000,4408912-0,4158928,P,26.01120000,-80.14949000,NORTH-AMERICA,United States,ENA
Jordan,Jordan,GPE,0.00000000,0.00000000,en,1.00000000,4028750-6,248816,A,31.00000000,36.00000000,EUROPE-AFRICA,Jordan,MED
the North Island,the North Island,LOC,-0.10000000,0.25000000,en,1.00000000,4229389-3,4796512,P,17.72751000,-64.74698000,CENTRAL-AMERICA,U.S. Virgin Islands,CAR
Palestine,Palestine,GPE,0.00000000,0.00000000,en,1.00000000,4044381-4,6254930,A,31.92157000,35.20329000,EUROPE-AFRICA,Palestinian Territory,MED
Israel,Israel,GPE,0.00000000,0.00000000,en,1.00000000,4027808-6,294640,A,31.50000000,34.75000000,EUROPE-AFRICA,Israel,MED
Telemark,Telemark,GPE,0.00000000,0.00000000,en,1.00000000,4333119-1,3134723,A,59.21610000,9.61120000,EUROPE,Norway,NEU
Indre Sogn,Indre Sogn,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Coventry City,Coventry City,GPE,0.00000000,0.00000000,en,1.00000000,,6288541,S,52.44846000,-1.49744000,EUROPE,United Kingdom,NEU
the Grossarl valley,the Grossarl valley,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Trøndealg,Trøndealg,GPE,-0.10000000,0.20000000,en,1.00000000,,0,,,,,,
WASHINGTON DC,WASHINGTON DC,GPE,0.00000000,0.00000000,en,1.00000000,4064682-8,4140963,P,38.89511000,-77.03637000,NORTH-AMERICA,United States,ENA
Korsvik,Korsvik,GPE,0.00000000,0.00000000,en,1.00000000,,3149439,P,58.14118000,8.07547000,EUROPE,Norway,NEU
Taiwan,Taiwan,GPE,0.13636364,0.45454545,en,1.00000000,4017875-4,1668284,A,24.00000000,121.00000000,ASIA,Taiwan,EAS
Papua New Guinea,Papua New Guinea,GPE,0.13636364,0.45454545,en,1.00000000,4044569-0,2088628,A,-6.00000000,147.00000000,ASIA,Papua New Guinea,SEA
Tverrdalsfjellet Narvik,Tverrdalsfjellet Narvik,GPE,0.00000000,0.00000000,en,1.00000000,,3133559,T,68.28672000,17.60825000,EUROPE,Norway,NEU
Gran Canaria,Gran Canaria,GPE,-1.00000000,1.00000000,en,1.00000000,4252447-7,2515270,P,28.09973000,-15.41343000,AFRICA,Spain,SAH
Fagernesfjellet Narvik,Fagernesfjellet Narvik,GPE,0.00000000,0.00000000,en,1.00000000,,3157894,T,68.41818000,17.49220000,EUROPE,Norway,NEU
Katherine,Katherine,GPE,0.17500000,0.44166667,en,1.00000000,,2068655,P,-14.46517000,132.26347000,OCEANIA,Australia,NAU
Nairobi,Nairobi,GPE,-0.13333333,0.30000000,en,1.00000000,4041172-2,184745,P,-1.28333000,36.81667000,AFRICA,Kenya,SEAF
Trøndelag,Trøndelag,GPE,0.00000000,0.00000000,en,1.00000000,4119716-1,11862827,A,64.02475000,11.58001000,EUROPE,Norway,NEU
Southwest Norway,Southwest Norway,GPE,0.50000000,0.50000000,en,1.00000000,,6152906,T,44.50630000,-63.99570000,NORTH-AMERICA,Canada,ENA
Våler,Våler,GPE,-0.11250000,0.23750000,en,1.00000000,6057635-2,6453356,A,60.67845000,11.83314000,EUROPE,Norway,NEU
Elverum,Elverum,GPE,0.00000000,0.50000000,en,1.00000000,4684069-2,3158300,P,60.88191000,11.56231000,EUROPE,Norway,NEU
Rosten,Rosten,GPE,0.00000000,0.50000000,en,1.00000000,,3184248,P,41.07639000,19.71500000,EUROPE-AFRICA,Albania,MED
the Canary Islands,the Canary Islands,LOC,0.00000000,0.00000000,en,1.00000000,,2520308,T,28.00000000,-15.50000000,AFRICA,Spain,SAH
La Gomera,La Gomera,GPE,-1.00000000,1.00000000,en,1.00000000,4121997-1,2509770,T,35.17204000,-4.29959000,EUROPE-AFRICA,Spain,MED
Guam,Guam,GPE,0.13636364,0.45454545,en,1.00000000,4094188-7,4043988,A,13.47861000,144.81834000,PACIFIC,Guam,NPO
La Palma,La Palma,GPE,-1.00000000,1.00000000,en,1.00000000,4044423-5,5364022,P,33.84640000,-118.04673000,NORTH-AMERICA,United States,WNA
El Hierro,El Hierro,GPE,-1.00000000,1.00000000,en,1.00000000,4016879-7,6297186,S,27.81485000,-17.88706000,AFRICA,Spain,SAH
Teide,Teide,LOC,0.05000000,0.22500000,en,1.00000000,4119544-9,2510569,T,28.27273000,-16.64264000,AFRICA,Spain,SAH
Hawaii,Hawaii,GPE,0.00000000,0.00000000,en,1.00000000,251184-8,5855797,A,20.78785000,-156.38612000,PACIFIC,United States,NPO
Oahu,Oahu,GPE,-0.20000000,0.50000000,en,1.00000000,4434640-2,4034107,T,-17.73333000,-149.53333000,PACIFIC,French Polynesia,SPO
Earth,Earth,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
the Sollifjellet alpine center,the Sollifjellet alpine center,LOC,-0.20000000,0.70000000,en,1.00000000,,0,,,,,,
Harstad,Harstad,GPE,-0.20000000,0.70000000,en,1.00000000,4308537-4,3153823,P,68.79833000,16.54165000,EUROPE,Norway,NEU
Honshu,Honshu,LOC,0.00000000,0.00000000,en,1.00000000,,1862185,T,36.00000000,138.00000000,ASIA,Japan,EAS
Nille,Nille,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
